EGID,IDENT,design_demand,supply_temp_heat,return_temp_heat
295105262,31:E282,8416.4198288159,69,54
295074653,24:K734,3076.5911879477,70,50
2037037,24:K972,2716.7904205096,52,32
9082316,31:C401,2483.094055896,67,52
295099542,8:C1072,2028.1436038739,62,43
295060386,8:3350,1791.5104967295,53,36
2034840,8:C1245,1652.2706733858,47,23
2034961,8:C1467,1296.4943147486,65,43
2039538,24:K791,1109.6163028693,54,30
2034732,8:C1315,1033.8712326163,45,28
2034760,8:C1356,1015.7480212516,55,34
2040917,31:E213,993.7043801215,52,30
295020439,31:1337,943.4931739727,45,30
1019118,31:E281,933.2982530353,58,39
295078228,24:K838,860.8569305192,70,51
2040931,31:C551,840.5626611766,46,30
295138706,31:2029,827.9642340851,41,19
295077359,24:K921,819.2664124063,62,37
1013451,24:K933,792.7622144907,65,43
295077356,24:K929,730.55916162,68,48
295075438,24:K629,728.337733894,68,44
2034898,8:C1323,668.2482055919,56,33
9082230,8:C1259,628.2960591907,59,36
1002983,8:C1067,610.7963512247,40,24
9082244,8:C1501,595.5767738881,69,46
1002889,8:C1149,572.5311044318,70,50
295086090,8:C1303,556.2186286628,70,48
295030181,31:1390,543.0738236658,62,40
2375217,24:K817,537.4769708412,43,19
2034992,8:C1274,526.9052323562,45,20
295111989,31:1713,490.1919410266,51,27
2037035,24:K903,489.7486334557,42,17
1013441,24:K766,488.5388793269,44,24
2034990,8:C1208,487.5754035599,63,44
2040686,31:E215,484.2229649307,69,54
295100150,8:C1280,453.6012998908,67,42
295077942,24:K864,440.6578475641,46,24
2034928,8:C1367,433.0693216856,45,21
295100688,8:C1478,432.5872333614,62,40
3131457,8:C1194,431.6551709418,60,40
1013377,24:I505,429.4223742653,51,35
2034759,8:C1258,414.3596802956,46,28
1013372,24:I503,413.057605399,41,24
295077991,24:K806,383.1592052795,56,40
1013452,24:K822,379.9796643453,64,41
295091002,31:C369,379.970300242,41,20
2040916,31:E238,379.5614662628,62,45
1019124,31:E182,363.5863712305,66,47
295077971,24:K824,361.7363047709,64,44
2034692,8:C1334,350.6383998479,57,33
2034995,8:C1206,344.4081742347,64,39
2040920,31:E253,329.3975370185,62,43
295112323,8:3462,311.3270751391,42,20
295100070,8:C1233,307.2387353474,52,30
1013317,24:K801,302.0310429203,62,41
1013380,24:I559,301.2690379955,41,22
295077999,24:K818,301.0653422619,52,35
1002891,8:C1292,298.2493161619,61,44
295100066,8:C1209,294.3604650035,63,47
2034749,8:C1229,287.6555877451,56,41
295077974,24:K820,281.1551274762,67,50
1013453,24:K883,271.1946391877,44,29
2040918,31:E263,269.4798949325,58,43
295100449,8:C1180,266.2525890122,41,18
2035023,8:C1304,264.8017683094,67,47
2035042,8:C1319,244.9324369216,56,41
295100906,8:C1321,241.6208816903,68,45
1002919,8:A2648,239.8216943404,42,26
2034997,8:C1430,236.9778878861,62,37
2035029,8:C1205,236.1016229715,59,40
1013303,24:K916,227.6231636302,62,40
2034929,8:C1325,227.0261443172,42,27
2037033,24:K879,225.2675225235,65,42
2035044,8:C1333,225.0631055339,64,40
1002964,8:C1405,223.1373859758,59,43
2035018,8:C1443,222.0887802682,59,39
1013304,24:1487,215.7546992244,65,45
1019125,31:C400,215.5935766109,51,32
1013375,24:I465,213.2859934297,54,29
1013376,24:I467,213.2859934297,59,44
2035028,8:C1214,211.9553779851,68,50
2039193,24:K771,210.2872106584,47,22
2037034,24:K884,207.0744104504,50,31
9082317,31:E212,207.0490034947,40,25
2034841,8:C1256,200.0038808501,60,38
2037169,24:K890,198.7408760243,41,16
295077320,24:K987,198.4137843916,41,21
295105031,31:E183,197.0399995343,42,18
2035099,8:C1353,194.4620268516,63,46
2037177,24:I496,194.2343988207,64,43
2038601,24:I498,194.2343988207,58,33
295009914,8:C1243,193.950839719,59,40
2037165,24:K767,193.0514049648,68,46
2037036,24:K902,188.8812983772,46,21
295105051,31:E174,187.9000968272,60,44
295009952,31:E200,187.7599694189,65,49
2034750,8:C1230,184.5885415959,62,47
295100926,8:C1305,182.6261384959,58,33
1002999,8:C1391,177.2372292541,68,50
9082237,8:C1247,176.9433461854,54,29
2039191,24:K974,175.4203930913,47,29
2034927,8:C1276,174.0127485927,59,34
295100415,8:C1148,173.7912781774,57,32
1013360,24:I567,171.7681573659,41,25
2037791,24:K844,171.0561368854,53,29
2034803,8:C1306,169.3342013502,45,29
2037032,24:K711,168.6031330103,61,39
2039541,24:K999,167.9349284921,48,29
2037168,24:K963,166.6248505064,57,37
1013383,24:I562,165.289870399,44,23
295101507,8:3315,163.8584511657,67,48
2039188,24:K940,160.9928961038,54,30
1002911,8:C1346,159.8009900049,52,31
1013373,24:I469,159.3303399043,46,23
1002957,8:A2972,159.0572089055,54,30
295105252,31:E272,157.5927486315,42,25
1013454,24:K765,156.883027296,47,24
1013312,24:K702,155.8829807258,56,37
2035051,8:C1332,155.3569120852,44,28
2039197,24:K826,153.9259931581,40,15
2037166,24:K964,153.0368945955,50,25
2037173,24:K769,153.0071252409,63,47
1002945,8:A2970,151.0386125185,59,40
2035011,8:C1246,150.4509043351,48,26
1002921,8:C1242,149.2225686959,69,53
1002958,8:A2971,148.5755662969,49,28
1002908,8:C1282,146.2234477085,42,19
2039663,24:K983,142.4462486086,61,45
1002905,8:C894,141.1934455028,67,47
1013311,24:K779,139.9949742991,70,55
1013385,24:I542,138.7032333303,45,30
2037170,24:K736,138.5947189391,43,19
1013313,24:K712,137.6682105982,59,44
1002955,8:A3071,136.6836712584,62,37
2374780,8:3331,134.9379193339,45,20
1013371,24:I501,133.4995954214,41,17
1013379,24:1488,133.4995954214,68,53
1003685,8:C1441,133.4835222337,66,45
1013356,24:I561,133.1834516669,50,33
2039540,24:K975,132.2550552924,54,33
1002989,8:C1370,129.106861149,40,23
1019123,31:E226,128.387642597,46,24
1002998,8:C1392,127.4049143205,69,49
1002941,8:C1397,126.8257136075,53,30
1002986,8:C1424,126.231232047,53,34
2040903,31:E185,125.2258478202,53,34
1002970,8:A2965,124.3632333432,55,40
1002924,8:C1093,124.3616486628,61,44
2034689,8:C1095,124.3616486628,69,46
2037943,24:K881,123.2186412756,60,44
295095750,8:A2974,122.6835019239,61,44
2035076,8:C1363,122.6440814125,48,25
1002901,8:C1058,121.8515147928,53,35
1013367,24:I577,121.7394552451,50,29
2035054,8:A3081,121.7190807818,56,37
1003693,8:C1131,121.6151710194,51,32
1013358,24:I464,121.1322962408,59,43
2037167,24:K962,121.0075592493,59,43
1002969,8:A2966,120.5897695616,42,22
2034649,8:A3072,119.7949391127,56,35
1002972,8:A2963,119.3846200615,58,41
1002913,8:C1299,119.2272839288,47,27
1002914,8:3319,119.2272839288,60,41
295105325,31:E227,118.9305176472,47,30
1013442,24:K894,118.1331752534,70,51
1002956,8:A2973,117.9172059431,66,47
295105227,31:E294,117.6548602797,49,33
1013364,24:I170,116.6182207208,67,47
2035057,8:A3079,116.2486505961,61,36
295074650,24:K733,113.9914339935,59,40
2037174,24:I537,111.6928074264,51,35
1002992,8:C1374,111.5628590999,62,45
1003684,8:C1440,111.1471113862,66,51
1002918,8:A2224,111.0173939703,49,28
295074690,24:K775,110.4915535237,44,19
2749997,8:C290,110.0601337729,48,28
1003682,8:C1077,108.5073732919,63,38
1003683,8:C1079,108.5073732919,59,44
1002944,8:A2969,108.4837162762,70,47
2037041,24:K805,108.2161742191,61,38
1002912,8:3318,107.9805802259,49,32
295101343,8:C1502,107.4151277479,60,35
1002987,8:C1425,107.2740391177,70,50
1002917,8:A2219,107.2552493349,62,42
1013440,24:K829,107.1309651092,70,50
2037793,24:K827,106.8844341041,56,32
295077984,24:K832,106.6318722579,42,18
1013357,24:I560,105.5174208129,58,36
2034753,8:C1255,105.4791666262,44,29
2037487,24:K807,105.0615716279,45,27
295086275,24:K1005,104.3422308291,44,27
2035056,8:A3080,104.1678390068,63,46
1013370,24:I576,103.4655991742,53,30
1002974,8:A2961,102.9286188766,64,42
9082227,8:C1069,102.7808623637,70,50
1013310,24:K778,102.4937372781,52,35
1003716,8:C1379,102.4756266441,59,44
2039189,24:K954,102.4317083567,48,26
2039187,24:K896,102.4142768715,48,25
295085868,8:C1421,101.5952438241,50,35
2035061,8:C1432,101.1545690866,68,53
2039194,24:K982,100.2827684433,60,36
1002920,8:A2677,100.1751233625,41,23
2034897,8:C1270,99.7554909178,63,47
2039436,24:K841,99.5101905303,70,50
1002909,8:C1289,99.0035917268,46,28
1002910,8:3317,98.5146046093,41,19
2040919,31:E225,98.3891631141,62,42
1013384,24:I111,97.9763792056,66,48
1002995,8:C221,97.3069648971,40,21
1002927,8:C305,96.5094178531,53,36
2035039,8:C1185,95.8715681157,44,24
1002985,8:C167,95.5093712829,60,42
2035033,8:C1267,94.856573481,53,31
1013381,24:I109,94.7744191176,66,41
1002973,8:A2962,94.4909876958,60,37
1013361,24:I396,94.4763859971,69,48
1002961,8:C1389,93.5913419527,69,46
1002990,8:3312,93.0284543932,48,29
2034994,8:C1226,92.9688468636,42,21
1003686,8:C1452,92.8070383098,43,27
295087044,31:B1002,92.0252973216,52,30
295077360,24:K922,91.2924890026,66,42
1013366,24:I575,91.2388837899,56,31
295060244,8:C1231,91.1931471948,46,27
1013382,24:I110,90.4009273938,65,46
295050277,8:3287,90.2211386026,68,52
1013354,24:I476,89.5579905734,65,45
295105807,24:K1014,89.2960157252,43,28
1013355,24:I477,89.050666439,46,21
2035064,8:C1327,88.903505766,45,25
2039543,24:K949,88.7072507864,40,24
295078001,24:K813,87.5297209087,67,43
295077964,24:K854,86.8755376433,47,23
1002942,8:A2967,86.2104662647,63,46
295100452,8:C1186,85.2010012593,66,48
1002951,8:C1046,83.7716430161,53,37
9082238,8:C1154,83.0158563775,64,40
2040979,31:C526,82.9932977718,57,33
1002963,8:C1404,82.9485147016,48,29
1013362,24:I480,82.162060421,65,48
1002928,8:C1014,82.1449866208,40,25
2034804,8:C1454,82.0110630101,53,28
2034935,8:3307,82.0110630101,54,34
1002988,8:C1371,81.8075447608,53,30
1002943,8:A2968,81.4938912185,48,23
1013363,24:I479,81.2452095756,43,25
2039192,24:K893,80.9884913389,51,33
1002893,8:C1252,79.888478144,46,23
1002996,8:C1395,79.4421827712,51,28
2037792,24:K853,79.2523606888,54,29
1002997,8:C1396,78.4386272657,49,25
2037796,24:K828,78.3296238874,64,45
1003715,8:3306,78.300646873,49,25
2034690,8:C1165,78.2970247462,66,43
2034691,8:C1168,78.2970247462,70,46
1013306,24:K749,77.6104053354,43,26
1013307,24:1490,77.6104053354,64,39
1013308,24:1491,77.6104053354,65,47
295116455,8:3487,77.2742103925,47,29
2035032,8:C1175,77.2696220634,70,46
295086101,8:C1361,76.9425548801,40,17
1002938,8:C1399,76.8327799888,47,28
295105041,31:E147,76.5394420502,66,44
2036972,24:I564,75.4856883949,47,25
1002934,8:C193,75.2999412051,40,18
295112462,8:3371,75.0643390621,62,47
1002904,8:C824,74.8455906751,61,38
1013365,24:I533,74.7912587731,64,44
1003691,8:C1062,74.6418460428,48,24
1003692,8:C1063,74.6418460428,70,53
1002940,8:C1398,74.1465202034,59,36
1002991,8:3311,74.1376188268,49,24
295116452,8:3486,73.5673294512,52,36
2034866,8:C1381,72.808370735,42,24
1002902,8:C896,72.0069837839,62,39
1013316,24:1489,71.8668441509,61,46
2040907,31:E178,71.05534558,46,24
2034755,8:C1362,70.6465116008,42,26
2035048,8:C1302,69.4044843223,67,44
2037942,24:K834,68.5205749091,58,39
1002950,8:C74,68.3162068183,57,41
2035015,8:C1059,68.2668802428,46,25
1002931,8:C306,67.4869005138,52,28
1002932,8:C307,67.4869005138,66,41
1013314,24:K772,67.249990783,41,22
1013315,24:K773,67.249990783,51,29
295105272,31:E258,67.0210755388,70,53
1003713,8:C1409,66.7269330353,65,47
295091231,31:C138,66.6525707722,46,21
1002946,8:A2719,65.8355140477,46,26
2035053,8:C1089,65.8197034642,65,48
295116454,8:3488,65.2981335051,46,23
1002948,8:C166,65.1636457482,54,29
295078596,31:E322,64.8819524945,61,36
2040924,31:E310,64.7641432732,54,35
1002962,8:C1388,64.1394893965,54,33
295099537,8:C1085,63.2874999757,52,27
1003712,8:C1410,62.8152624781,45,29
1003714,8:C1408,62.8152624781,48,32
1002936,8:C107,61.9913418233,61,37
295100061,8:C1207,61.7549002525,45,27
1002926,8:C291,61.4697555647,67,42
2034864,8:C1446,60.60791577,70,46
2034865,8:C1445,60.60791577,57,37
295100071,8:C1232,60.5891957132,70,53
1013359,24:I570,60.15820609,62,41
1002994,8:C194,59.8418359526,48,28
295074637,24:K726,59.3574738382,45,21
2035016,8:C1228,59.3344221705,65,43
295116453,8:3489,58.454660998,44,26
295101339,8:C1504,58.217958634,64,46
295077952,24:K877,58.1896014561,51,28
1002916,8:A2215,57.7897879309,51,26
295099541,8:C1073,57.5229408694,45,28
2040926,31:E311,57.208326558,47,24
295078233,24:K819,57.0323400944,53,35
1002960,8:C1387,56.7045081896,57,33
2035046,8:C1308,56.5758094968,47,22
295100102,8:C1218,56.3105339856,48,27
295009922,31:E206,56.0962150069,63,39
1002959,8:C1386,54.7402967427,53,33
1002903,8:C1147,54.0987637552,42,18
295077384,24:K935,53.5335761452,70,49
1002954,8:A2216,53.2431132697,68,49
1002982,8:C103,53.1030954308,64,41
1020040,31:C254,52.4357185685,54,39
295100440,8:C1178,52.4125161298,51,36
295105230,31:E291,50.2865794381,46,23
2039439,24:K830,49.4562548632,59,42
1013368,24:I563,48.9152377053,59,43
295075403,24:K560,48.213306659,67,45
295074651,24:K737,48.1339359,64,43
1002953,8:A2217,47.5495827116,55,40
1002979,8:C1020,46.8857147847,67,47
2037038,24:K859,46.3003686808,51,36
295075273,24:K563,46.2826306731,54,36
1020097,31:C209,46.1781549533,58,42
1002923,8:C1047,45.5878614769,59,38
295105314,31:E217,45.2170380964,60,43
1013302,24:K566,44.3522114054,52,29
295113355,8:3435,44.1777222385,64,40
295113356,8:3437,44.1777222385,53,33
295113357,8:3436,44.1777222385,64,43
1002937,8:C1027,43.5993138657,44,21
1002981,8:C1018,43.5585649392,59,37
1002897,8:C1181,43.4317868792,40,21
1002935,8:C1026,43.1307012114,57,41
295091976,31:C545,42.436967038,45,24
2035060,8:A3077,41.983732123,47,29
1020073,31:C389,41.8301313086,65,42
1020074,31:C388,41.8301313086,69,50
1020075,31:C387,41.8301313086,61,37
1020076,31:C386,41.8301313086,68,47
1020077,31:C385,41.8301313086,68,53
2034733,8:C816,41.7368923316,58,40
2034758,8:C1254,41.6601824776,62,44
2034650,8:A3074,40.5209199167,51,35
2034965,8:A3073,39.8124934915,69,50
1002980,8:C1019,39.7811394564,68,53
1002993,8:C195,38.739438428,40,22
2034936,8:C1470,38.5291286909,58,37
295085330,8:C1235,37.8117927393,65,43
295100984,8:C1384,36.8959361678,64,39
2034964,8:3332,36.7892627226,43,22
2035063,8:C1352,35.6529879635,61,44
295099657,31:E265,35.5604879005,45,30
9082281,24:K1012,35.5221513105,58,33
1002922,8:C1049,35.4821277149,49,31
295074652,24:K735,35.4567329839,64,42
295085884,8:C1436,34.9553052192,47,31
295100045,8:C1224,34.8662484404,62,46
2034736,8:C1348,34.8352588818,58,37
295078288,31:E292,34.6691214337,61,39
295074647,24:K741,34.4100397593,55,33
9082229,8:C1223,34.3262844159,63,44
295075309,24:K555,34.3262844159,50,31
295128355,31:1664,33.8923368733,55,40
295090962,31:C313,32.8992366368,49,29
2035055,8:C1437,32.8702519254,55,30
1020078,31:C381,31.9220298399,63,44
1020079,31:C382,31.9220298399,44,27
1020080,31:C384,31.9220298399,53,34
1020081,31:C383,31.9220298399,53,35
9082280,24:K1011,31.730667448,42,19
2035034,8:C1234,31.561983192,51,31
295100287,31:1348,31.1531492129,40,18
1019122,31:E157,30.9428684528,64,48
2034993,8:C1287,30.484940167,63,42
2034867,8:C1403,30.4717076323,70,55
2034985,8:C1143,30.2232668608,61,45
2039542,24:K948,30.1578485343,63,38
295101506,8:3316,29.9615935547,58,37
1020082,31:C380,29.6570686775,55,31
1020083,31:C379,29.6570686775,57,32
1020084,31:C378,29.6570686775,61,44
1020085,31:C377,29.6570686775,46,31
1020086,31:C375,29.6570686775,62,37
1020087,31:C376,29.6570686775,48,32
2040799,31:C267,29.599580092,56,37
2035014,8:C1173,28.3915537178,56,35
2040901,31:E28,28.3321947566,56,38
2040908,31:E240,28.3261353912,47,27
295100044,8:C1222,27.8682071054,43,26
295100101,8:C1219,27.8027887789,47,32
295072608,31:E205,27.6719521258,62,45
295100108,8:C1244,26.7377422378,66,45
2040909,31:E239,26.6906772278,57,38
1002899,8:C893,26.6816798648,47,29
295077771,8:C90,26.3962947583,45,30
9082231,8:C1220,26.2471414628,41,22
295077557,24:K951,25.6961507788,40,17
1002895,8:C1476,25.5950526922,50,33
2034730,8:C1203,25.1860557174,55,32
295100935,8:C1311,25.0206395253,53,38
2037941,24:K833,24.7753391378,52,37
295100711,8:C1418,24.4482719545,67,50
295100912,8:C1328,24.2847383628,54,32
295100705,8:C1414,24.202971567,45,29
295100708,8:C1412,24.202971567,59,36
295100706,8:C1416,24.1212047711,54,31
295100154,8:C1285,24.0394379753,66,48
1020109,31:C154,23.9553566404,52,29
295105039,31:E144,23.8122708601,41,23
295105040,31:E145,23.7468525335,51,34
2035013,8:C1366,23.6526328658,69,47
1013456,24:K876,23.2880848199,63,42
295099512,8:C1033,22.2422310231,58,41
295100085,8:C1261,22.2405684669,61,40
1002977,8:C1025,21.7573106485,40,18
295077963,24:K851,21.5880477577,43,22
295086079,8:C1322,21.2936652883,46,29
295100746,8:C1488,20.2177836077,57,42
1002894,8:C1225,20.1859586961,50,34
2039437,24:K843,19.8217529412,50,31
295077933,24:K892,19.2969638169,64,49
295077383,24:K939,19.2151970211,42,24
1019138,31:E163,18.9565880342,46,31
295086289,24:K1039,18.8881298377,50,30
1019126,31:E195,18.7617388925,50,29
2035012,8:C1172,18.70964139,52,37
295085327,8:C1200,18.6115139002,52,28
295105028,31:E198,18.4479680839,50,32
295077932,24:K895,18.2816391159,62,44
1002900,8:C889,18.1310922071,67,46
1002976,8:C164,18.0785383166,64,45
295105029,31:E180,18.0704618794,43,25
295088521,8:C891,17.2156105256,63,39
2034996,8:C1251,17.1710271252,48,32
2039544,24:K742,16.8125099204,49,29
295077357,24:K925,16.7003159012,52,30
295075294,24:K549,16.6816732673,62,38
1013444,24:K252,16.3460080605,45,21
1002930,8:C377,15.1868640984,64,45
295084833,24:1408,14.964717251,64,47
190093513,31:E317,14.9133328547,56,41
1019133,31:E51,14.8201971084,62,46
295093330,8:A2649,14.6771398523,56,33
295136285,31:2060,14.6493083355,43,25
2039196,24:K958,14.3481044958,52,29
295078606,31:E313,14.309189271,56,36
295105050,31:E175,14.1456556793,46,21
295105038,31:E142,14.1303585323,59,44
295100907,8:C1320,14.0638888835,43,22
1019150,31:E90,13.8095585339,57,42
295100329,31:1351,13.4097545168,70,51
1002896,8:C1133,13.2979720618,67,45
1019146,31:E88,13.1519605085,60,42
295092720,8:A2275,13.1490836343,45,25
1002975,8:C162,13.0580179334,46,30
1020112,31:C149,12.928257052,70,45
2037994,24:K794,12.7556201502,57,37
1013446,24:K244,12.6822476332,59,44
2040913,31:E211,12.346786171,50,32
295105253,31:E274,12.1832525793,48,24
1002929,8:C378,11.8367644576,55,33
1013443,24:K254,11.8246253524,43,20
295071502,8:A3076,11.6477953861,52,35
2039539,24:K938,11.5790437973,48,28
1013447,24:K233,11.5549367324,51,26
295075263,24:K538,11.5136254708,61,39
1020114,31:C148,11.5093020097,61,44
1019142,31:E86,11.4140228699,43,19
295085936,8:C1498,11.365584621,66,46
1002949,8:C1179,11.3492565261,54,33
2035041,8:C1266,11.0794008355,67,52
295100118,8:C1277,10.5292984781,52,32
1019127,31:E101,10.510778091,46,23
2034986,8:C59,10.4669322462,52,28
295085347,8:C1211,10.4252664689,55,32
295077990,24:K809,10.2593164659,59,39
295085937,8:C1497,9.9435856339,69,50
295078231,24:K803,8.9296015725,62,40
1019128,31:E52,8.8290535965,48,28
295074635,24:K722,8.7490471543,41,16
295085337,8:C1260,8.7081637564,49,26
295077351,24:K945,8.6779932512,47,22
2040781,31:B566,8.6188380347,69,48
295116220,8:3481,8.296717771,69,53
295142354,31:1739,8.2923046623,52,33
